timestamp;id;question;answer;latency_s;prompt_tokens;completion_tokens;total_tokens;top_k;sources;;;;;;
2025-11-12T12:16:42;Q1;Qual o preço do Notebook X2000?;O preço do Notebook X2000 é 3500.0.;0.755;1463;14;1477;26;empresa.csv|produtos.csv;;;;;;
2025-11-12T12:16:43;Q2;Quantas unidades do Smartphone Alpha estão em estoque?;O Smartphone Alpha possui 120 unidades em estoque.;0.521;982;11;993;26;empresa.csv|produtos.csv;;;;;;
2025-11-12T12:16:43;Q3;Em que ano a Tech Solutions foi fundada?;A Tech Solutions foi fundada em 2015.;0.614;822;11;833;26;empresa.csv|produtos.csv|servicos.csv;;;;;;
2025-11-12T12:16:44;Q4;Quem é o dono da empresa? ;O dono da empresa é Carlos Henrique Souza.;0.567;741;12;753;26;empresa.csv|produtos.csv;;;;;;
2025-11-12T12:16:44;Q5;Qual o endereço da sede da Tech Solutions?;A sede da Tech Solutions é Av. Paulista 1000 - São Paulo - SP.;0.529;822;19;841;26;empresa.csv|produtos.csv|servicos.csv;;;;;;
2025-11-12T12:16:45;Q6;Qual o horário de funcionamento aos sábados? ;Sábado das 9h às 14h.;0.487;952;11;963;26;empresa.csv|produtos.csv|servicos.csv;;;;;;
2025-11-12T12:16:46;Q7;Quais formas de pagamento a empresa aceita?;A empresa aceita as seguintes formas de pagamento: Cartão de Crédito ,  Cartão de Débito,  Boleto,  Pix,  Transferência Bancária;0.69;741;36;777;26;empresa.csv|produtos.csv;;;;;;
2025-11-12T12:16:47;Q8;A empresa possui certificações?;Sim, a empresa possui as certificações ISO 9001 e ISO 27001.;1.004;726;19;745;26;empresa.csv|servicos.csv;;;;;;
2025-11-12T12:16:47;Q9;Qual é a política de troca de produtos?;Troca em até 30 dias com nota fiscal.;0.634;1072;11;1083;26;empresa.csv|produtos.csv;;;;;;
2025-11-12T12:16:48;Q10;Quais são as filiais localizadas no estado de Santa Catarina?;Filial 4: Av. Brasil 1234 - Balneário Camboriú - SC - Filial 3: Rua XV de Novembro 890 - Florianópolis - SC;1.063;1041;41;1082;26;empresa.csv|produtos.csv|servicos.csv;;;;;;
2025-11-12T12:16:49;Q11;Qual o preço da Cadeira Ergonômica Pro? ;O preço da Cadeira Ergonômica Pro é 899.9.;0.584;1028;17;1045;26;empresa.csv|produtos.csv|servicos.csv;;;;;;
2025-11-12T12:16:50;Q12;Quantos funcionários a empresa possui?;A empresa possui 48 funcionários.;0.545;727;8;735;26;empresa.csv|servicos.csv;;;;;;
2025-11-12T12:16:51;Q13;Quais são os principais clientes da Tech Solutions? ;Os principais clientes da Tech Solutions são: Universidade XPTO ,  Hospital Central ,  Prefeitura Municipal de São Paulo.;1.01;835;26;861;26;empresa.csv|produtos.csv|servicos.csv;;;;;;
2025-11-12T12:16:51;Q14;Qual o preço do serviço de Consultoria em TI? ;500.0;0.34;920;3;923;26;empresa.csv|produtos.csv|servicos.csv;;;;;;
2025-11-12T12:16:52;Q15;Qual a garantia dos produtos eletrônicos?;A garantia dos produtos eletrônicos é de 12 meses.;0.887;1210;15;1225;26;empresa.csv|produtos.csv;;;;;;
2025-11-12T12:16:53;Q16;Qual o tempo médio de entrega de um pedido? ;Tempo Médio de Entrega: 3 a 7 dias úteis;0.603;923;17;940;26;empresa.csv|produtos.csv|servicos.csv;;;;;;
2025-11-12T12:16:53;Q17;Quais canais de venda a Tech Solutions oferece? ;A Tech Solutions oferece os seguintes canais de venda: Loja Física ,  Loja Virtual,  Marketplace,  Telefone , WhatsApp;0.653;853;30;883;26;empresa.csv|produtos.csv|servicos.csv;;;;;;
2025-11-12T12:16:54;Q18;Qual o preço da Impressora Multifuncional Laser? ;O preço da Impressora Multifuncional Laser é 1350.0.;0.571;997;17;1014;26;empresa.csv|produtos.csv|servicos.csv;;;;;;
2025-11-12T12:16:55;Q19;Quantas unidades do Drone 4K Pro estão disponíveis em estoque? ;Existem 5 unidades do Drone 4K Pro disponíveis em estoque.;1.077;1439;17;1456;26;empresa.csv|produtos.csv|servicos.csv;;;;;;
2025-11-12T12:16:56;Q20;Qual o preço do serviço de Backup em Nuvem? ;O preço do serviço de Backup em Nuvem é 90.0.;0.506;948;16;964;26;empresa.csv|produtos.csv|servicos.csv;;;;;;
2025-11-12T12:16:56;Q21;Quais são as transportadoras parceiras da empresa? ;Correios, Jadlog ,  Azul Cargo ,  Transportadora XPTO;0.667;743;16;759;26;empresa.csv|produtos.csv;;;;;; 
2025-11-12T12:16:57;Q22;Qual o preço do Monitor 27 Ultra HD? ;O preço do Monitor 27 Ultra HD é 1899.0.;0.548;1508;15;1523;26;empresa.csv|produtos.csv|servicos.csv;;;;;;
2025-11-12T12:16:58;Q23;Quantos Servidores Rack 2U estão disponíveis? ;Há 8 Servidores Rack 2U disponíveis em estoque.;0.551;1058;16;1074;26;empresa.csv|produtos.csv|servicos.csv;;;;;;
2025-11-12T12:16:58;Q24;Qual o preço do Mouse Sem Fio MX?;O preço do Mouse Sem Fio MX é 199.9.;0.616;978;14;992;26;empresa.csv|produtos.csv|servicos.csv;;;;;;
2025-11-12T12:16:59;Q25;Qual é o CNPJ da empresa? ;O CNPJ da empresa é 12.345.678/0001-99.;0.643;739;18;757;26;empresa.csv|produtos.csv;;;;;;
2025-11-12T12:17:00;Q26;Qual o preço do serviço de Configuração de Firewall? ;O preço do serviço de Configuração de Firewall é 600.0.;0.578;1062;16;1078;26;empresa.csv|produtos.csv|servicos.csv;;;;;;
