timestamp,engine,model,id,question,answer,latency_s,prompt_tokens,completion_tokens,total_tokens,top_k,sources
2025-11-12T12:45:22,deepseek,deepseek-chat,,Qual o preço do Notebook X2000?,O preço do Notebook X2000 é 3500.0,2.214,1295,14,1309,26,produtos.csv
2025-11-12T12:45:25,deepseek,deepseek-chat,,Quantas unidades do Smartphone Alpha estão em estoque?,120.0,1.539,1052,3,1055,26,empresa.csv|produtos.csv
2025-11-12T12:45:27,deepseek,deepseek-chat,,Em que ano a Tech Solutions foi fundada?,A Tech Solutions foi fundada em 2015.,1.54,866,11,877,26,empresa.csv|produtos.csv|servicos.csv
2025-11-12T12:45:29,deepseek,deepseek-chat,,Quem é o dono da empresa? ,Carlos Henrique Souza,1.525,741,5,746,26,empresa.csv|produtos.csv
2025-11-12T12:45:31,deepseek,deepseek-chat,,Qual o endereço da sede da Tech Solutions?,Av. Paulista 1000 - São Paulo - SP,1.642,918,12,930,26,empresa.csv|produtos.csv|servicos.csv
2025-11-12T12:45:34,deepseek,deepseek-chat,,Qual o horário de funcionamento aos sábados? ,Sábado das 9h às 14h,1.827,955,11,966,26,empresa.csv|produtos.csv|servicos.csv
2025-11-12T12:45:37,deepseek,deepseek-chat,,Quais formas de pagamento a empresa aceita?,Cartão de Crédito; Cartão de Débito; Boleto; Pix; Transferência Bancária,2.241,742,23,765,26,empresa.csv|produtos.csv
2025-11-12T12:45:40,deepseek,deepseek-chat,,A empresa possui certificações?,"Sim, a empresa possui as certificações: ISO 9001 e ISO 27001.",1.942,724,19,743,26,empresa.csv|servicos.csv
2025-11-12T12:45:42,deepseek,deepseek-chat,,Qual é a política de troca de produtos?,Troca em até 30 dias com nota fiscal,1.955,1153,10,1163,26,empresa.csv|produtos.csv
2025-11-12T12:45:46,deepseek,deepseek-chat,,Quais são as filiais localizadas no estado de Santa Catarina?,"Com base no contexto, as filiais localizadas em Santa Catarina são:

- Filial 4: Av. Brasil 1234 - Balneário Camboriú - SC
- Filial 3: Rua XV de Novembro 890 - Florianópolis - SC",3.187,1095,59,1154,26,empresa.csv|produtos.csv|servicos.csv
2025-11-12T12:45:48,deepseek,deepseek-chat,,Qual o preço da Cadeira Ergonômica Pro? ,899.9,1.5,1113,3,1116,26,empresa.csv|produtos.csv
