campo;valor
Nome da Empresa;Tech Solutions Comércio e Serviços Ltda
Nome do Dono;Carlos Henrique Souza
Data de Fundação;12/08/2015
CNPJ Fictício;12.345.678/0001-99
Tipo de Venda;Varejo e E-commerce
Número de Funcionários;48
Sede;Av. Paulista 1000 - São Paulo - SP
Filial 1;Rua das Flores 250 - Curitiba - PR
Filial 2;Rua Bento Gonçalves 420 - Porto Alegre - RS
Filial 3;Rua XV de Novembro 890 - Florianópolis - SC
Filial 4;Av. Brasil 1234 - Balneário Camboriú - SC
Telefone Comercial;(11) 4002-8922
E-mail Comercial;contato@techsolutions.com
Site;www.techsolutions.com
Canais de Venda;"Loja Física; Loja Virtual; Marketplace; Telefone; WhatsApp"
Horário de Funcionamento;"Segunda a Sexta das 8h às 18h; Sábado das 9h às 14h"
Faturamento Anual Estimado;R$ 18.500.000,00
Certificações;"ISO 9001; ISO 27001"
Política de Troca;Troca em até 30 dias com nota fiscal
Formas de Pagamento;"Cartão de Crédito; Cartão de Débito; Boleto; Pix; Transferência Bancária"
Transportadoras Parceiras;"Correios; Jadlog; Azul Cargo; Transportadora XPTO"
Tempo Médio de Entrega;3 a 7 dias úteis
Prazo de Garantia dos Produtos;"12 meses para eletrônicos; 6 meses para móveis"
Principais Clientes;"Universidade XPTO; Hospital Central; Prefeitura Municipal de São Paulo"
LGPD;Em conformidade
