id;question;;;;
Q1;Qual o preço do Notebook X2000?;;;;
Q2;Quantas unidades do Smartphone Alpha estão em estoque?;;;;
Q3;Em que ano a Tech Solutions foi fundada?;;;;
Q4;Quem é o dono da empresa? ;;;;
Q5;Qual o endereço da sede da Tech Solutions?;;;;
Q6;Qual o horário de funcionamento aos sábados? ;;;;
Q7;Quais formas de pagamento a empresa aceita?;;;;
Q8;A empresa possui certificações?;;;;
Q9;Qual é a política de troca de produtos?;;;;
Q10;Quais são as filiais localizadas no estado de Santa Catarina?;;;;
Q11;Qual o preço da Cadeira Ergonômica Pro? ;;;;
Q12;Quantos funcionários a empresa possui?;;;;
Q13;Quais são os principais clientes da Tech Solutions? ;;;;
Q14;Qual o preço do serviço de Consultoria em TI? ;;;;
Q15;Qual a garantia dos produtos eletrônicos?;;;;
Q16;Qual o tempo médio de entrega de um pedido? ;;;;
Q17;Quais canais de venda a Tech Solutions oferece? ;;;;
Q18;Qual o preço da Impressora Multifuncional Laser? ;;;;
Q19;Quantas unidades do Drone 4K Pro estão disponíveis em estoque? ;;;;
Q20;Qual o preço do serviço de Backup em Nuvem? ;;;;
Q21;Quais são as transportadoras parceiras da empresa? ;;;;
Q22;Qual o preço do Monitor 27 Ultra HD? ;;;;
Q23;Quantos Servidores Rack 2U estão disponíveis? ;;;;
Q24;Qual o preço do Mouse Sem Fio MX?;;;;
Q25;Qual é o CNPJ da empresa? ;;;;
Q26;Qual o preço do serviço de Configuração de Firewall? ;;;;
Q27;Quais produtos estão na categoria Segurança? ;;;;
Q28;Qual o preço do HD Externo 2TB? ;;;;
Q29;Quantas unidades da Placa de Vídeo RTX 4060 estão disponíveis? ;;;;
Q30;Quais serviços têm preço sob consulta?;;;;
