timestamp,id,question,answer,latency_s,prompt_tokens,completion_tokens,total_tokens,top_k,sources
2025-12-03T19:13:14,,Qual o preço do Notebook X2000?,O preço do Notebook X2000 é 3500.0.,0.8,1463,14,1477,26,empresa.csv|produtos.csv
2025-12-03T19:13:15,,Quantas unidades do Smartphone Alpha estão em estoque?,O Smartphone Alpha possui 120 unidades em estoque.,0.755,982,11,993,26,empresa.csv|produtos.csv
2025-12-03T19:13:16,,Em que ano a Tech Solutions foi fundada?,A Tech Solutions foi fundada em 2015.,0.527,822,11,833,26,empresa.csv|produtos.csv|servicos.csv
2025-12-03T19:13:16,,Quem é o dono da empresa? ,Carlos Henrique Souza.,0.476,741,6,747,26,empresa.csv|produtos.csv
2025-12-03T19:13:17,,Qual o endereço da sede da Tech Solutions?,A sede da Tech Solutions é Av. Paulista 1000 - São Paulo - SP.,0.73,822,19,841,26,empresa.csv|produtos.csv|servicos.csv
2025-12-03T19:13:18,,Qual o horário de funcionamento aos sábados? ,Sábado das 9h às 14h.,0.692,952,11,963,26,empresa.csv|produtos.csv|servicos.csv
2025-12-03T19:13:19,,Quais formas de pagamento a empresa aceita?,A empresa aceita as seguintes formas de pagamento: Cartão de Crédito; Cartão de Débito; Boleto; Pix; Transferência Bancária.,0.709,741,36,777,26,empresa.csv|produtos.csv
2025-12-03T19:13:19,,A empresa possui certificações?,"Sim, a empresa possui as certificações ISO 9001 e ISO 27001.",0.647,726,19,745,26,empresa.csv|servicos.csv
2025-12-03T19:13:20,,Qual é a política de troca de produtos?,Troca em até 30 dias com nota fiscal.,0.666,1072,11,1083,26,empresa.csv|produtos.csv
2025-12-03T19:13:22,,Quais são as filiais localizadas no estado de Santa Catarina?,"Filial 4: Av. Brasil 1234 - Balneário Camboriú - SC
Filial 3: Rua XV de Novembro 890 - Florianópolis - SC",1.389,1041,41,1082,26,empresa.csv|produtos.csv|servicos.csv
2025-12-03T19:13:23,,Qual o preço da Cadeira Ergonômica Pro? ,O preço da Cadeira Ergonômica Pro é 899.9.,0.887,1028,17,1045,26,empresa.csv|produtos.csv|servicos.csv
2025-12-03T19:13:23,,Quantos funcionários a empresa possui?,A empresa possui 48 funcionários.,0.628,727,8,735,26,empresa.csv|servicos.csv
2025-12-03T19:13:24,,Quais são os principais clientes da Tech Solutions? ,Os principais clientes da Tech Solutions são: Universidade XPTO; Hospital Central; Prefeitura Municipal de São Paulo.,0.622,835,26,861,26,empresa.csv|produtos.csv|servicos.csv
2025-12-03T19:13:25,,Qual o preço do serviço de Consultoria em TI? ,500.0,0.503,920,3,923,26,empresa.csv|produtos.csv|servicos.csv
2025-12-03T19:13:25,,Qual a garantia dos produtos eletrônicos?,A garantia dos produtos eletrônicos é de 12 meses.,0.497,1210,15,1225,26,empresa.csv|produtos.csv
2025-12-03T19:13:26,,Qual o tempo médio de entrega de um pedido? ,Tempo Médio de Entrega: 3 a 7 dias úteis,0.667,923,17,940,26,empresa.csv|produtos.csv|servicos.csv
2025-12-03T19:13:27,,Quais canais de venda a Tech Solutions oferece? ,A Tech Solutions oferece os seguintes canais de venda: Loja Física; Loja Virtual; Marketplace; Telefone; WhatsApp.,0.786,853,30,883,26,empresa.csv|produtos.csv|servicos.csv
2025-12-03T19:13:27,,Qual o preço da Impressora Multifuncional Laser? ,O preço da Impressora Multifuncional Laser é 1350.0.,0.482,997,17,1014,26,empresa.csv|produtos.csv|servicos.csv
2025-12-03T19:13:28,,Quantas unidades do Drone 4K Pro estão disponíveis em estoque? ,Existem 5 unidades do Drone 4K Pro disponíveis em estoque.,0.559,1439,17,1456,26,empresa.csv|produtos.csv|servicos.csv
2025-12-03T19:13:28,,Qual o preço do serviço de Backup em Nuvem? ,O preço do serviço de Backup em Nuvem é 90.0.,0.511,948,16,964,26,empresa.csv|produtos.csv|servicos.csv
