timestamp;engine;model;id;question;answer;latency_s;prompt_tokens;completion_tokens;total_tokens;top_k;sources
2025-11-12T13:16:15;gemini;gemini-2.5-flash;Q1;Qual o preço do Notebook X2000?;preco: 3500.0;1.229;1345;54;1399;26;produtos.csv
2025-11-12T13:16:16;gemini;gemini-2.5-flash;Q2;Quantas unidades do Smartphone Alpha estão em estoque?;120.0;1.376;1070;44;1114;26;empresa.csv|produtos.csv
2025-11-12T13:16:18;gemini;gemini-2.5-flash;Q3;Em que ano a Tech Solutions foi fundada?;2015;1.33;856;113;969;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:16:19;gemini;gemini-2.5-flash;Q4;Quem é o dono da empresa? ;Nome do Dono: Carlos Henrique Souza;1.63;729;49;778;26;empresa.csv|produtos.csv
2025-11-12T13:16:21;gemini;gemini-2.5-flash;Q5;Qual o endereço da sede da Tech Solutions?;Av. Paulista 1000 - São Paulo - SP;1.023;927;49;976;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:16:23;gemini;gemini-2.5-flash;Q6;Qual o horário de funcionamento aos sábados? ;Sábado das 9h às 14h;2.739;948;47;995;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:16:25;gemini;gemini-2.5-flash;Q7;Quais formas de pagamento a empresa aceita?;Formas de Pagamento: Cartão de Crédito - Cartão de Débito -  Boleto -  Pix -  Transferência Bancária;1.104;731;65;796;26;empresa.csv|produtos.csv
2025-11-12T13:16:27;gemini;gemini-2.5-flash;Q8;A empresa possui certificações?;Sim, a empresa possui as seguintes certificações: ISO 9001 -  ISO 27001.;2.859;714;90;804;26;empresa.csv|servicos.csv
2025-11-12T13:16:28;gemini;gemini-2.5-flash;Q9;Qual é a política de troca de produtos?;Política de Troca: Troca em até 30 dias com nota fiscal;0.919;1181;51;1232;26;empresa.csv|produtos.csv
2025-11-12T13:16:30;gemini;gemini-2.5-flash;Q10;Quais são as filiais localizadas no estado de Santa Catarina?;As filiais localizadas no estado de Santa Catarina são: Filial 4: Av. Brasil 1234 - Balneário Camboriú - SC - Filial 3: Rua XV de Novembro 890 - Florianópolis - SC;1.882;1125;252;1377;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:16:32;gemini;gemini-2.5-flash;Q11;Qual o preço da Cadeira Ergonômica Pro? ;preco: 899.9;1.144;1124;44;1168;26;empresa.csv|produtos.csv
2025-11-12T13:16:33;gemini;gemini-2.5-flash;Q12;Quantos funcionários a empresa possui?;Número de Funcionários: 48;1.003;715;36;751;26;empresa.csv|servicos.csv
2025-11-12T13:16:34;gemini;gemini-2.5-flash;Q13;Quais são os principais clientes da Tech Solutions? ;Principais Clientes: Universidade XPTO -  Hospital Central -  Prefeitura Municipal de São Paulo;1.069;885;63;948;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:16:35;gemini;gemini-2.5-flash;Q14;Qual o preço do serviço de Consultoria em TI? ;500.0;1.168;960;68;1028;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:16:36;gemini;gemini-2.5-flash;Q15;Qual a garantia dos produtos eletrônicos?;12 meses para eletrônicos;1.076;1332;55;1387;26;empresa.csv|produtos.csv
2025-11-12T13:16:37;gemini;gemini-2.5-flash;Q16;Qual o tempo médio de entrega de um pedido? ;Tempo Médio de Entrega: 3 a 7 dias úteis;1.013;967;49;1016;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:16:38;gemini;gemini-2.5-flash;Q17;Quais canais de venda a Tech Solutions oferece? ;Canais de Venda: Loja Física - Loja Virtual -  Marketplace -  Telefone -  WhatsApp;1.131;872;63;935;26;empresa.csv|produtos.csv|servicos.csv
